# -*- tcl -*- bench/csv
1
300,Geo2Point* 2x 0 -10 -10,1.782
301,Geo2Point* 2x 0 -10 0,2.112
302,Geo2Point* 2x 0 -10 10,1.779
303,Geo2Point* 2x 0 0 -10,1.487
304,Geo2Point* 2x 0 0 0,2.001
305,Geo2Point* 2x 0 0 10,1.501
306,Geo2Point* 2x 0 10 -10,1.531
307,Geo2Point* 2x 0 10 0,1.743
308,Geo2Point* 2x 0 10 10,1.688
309,Geo2Point* 2x 1 -10 -10,1.782
310,Geo2Point* 2x 1 -10 0,1.964
311,Geo2Point* 2x 1 -10 10,1.614
312,Geo2Point* 2x 1 0 -10,1.655
313,Geo2Point* 2x 1 0 0,1.739
314,Geo2Point* 2x 1 0 10,1.901
315,Geo2Point* 2x 1 10 -10,1.761
316,Geo2Point* 2x 1 10 0,1.536
317,Geo2Point* 2x 1 10 10,1.535
318,Geo2Point* 2x 2 -10 -10,1.703
319,Geo2Point* 2x 2 -10 0,1.787
320,Geo2Point* 2x 2 -10 10,1.81
321,Geo2Point* 2x 2 0 -10,1.718
322,Geo2Point* 2x 2 0 0,1.944
323,Geo2Point* 2x 2 0 10,1.658
324,Geo2Point* 2x 2 10 -10,2.046
325,Geo2Point* 2x 2 10 0,1.772
326,Geo2Point* 2x 2 10 10,1.826
327,Geo2Point* 2x 3 -10 -10,2.134
328,Geo2Point* 2x 3 -10 0,1.536
329,Geo2Point* 2x 3 -10 10,1.746
330,Geo2Point* 2x 3 0 -10,1.467
331,Geo2Point* 2x 3 0 0,1.826
332,Geo2Point* 2x 3 0 10,1.495
333,Geo2Point* 2x 3 10 -10,1.79
334,Geo2Point* 2x 3 10 0,1.518
335,Geo2Point* 2x 3 10 10,1.529
336,Geo2Point* 2x 4 -10 -10,1.501
337,Geo2Point* 2x 4 -10 0,1.514
338,Geo2Point* 2x 4 -10 10,1.773
339,Geo2Point* 2x 4 0 -10,1.723
340,Geo2Point* 2x 4 0 0,1.592
341,Geo2Point* 2x 4 0 10,1.594
342,Geo2Point* 2x 4 10 -10,1.949
343,Geo2Point* 2x 4 10 0,1.501
344,Geo2Point* 2x 4 10 10,1.517
345,Geo2Point* 2x 5 -10 -10,1.529
346,Geo2Point* 2x 5 -10 0,1.541
347,Geo2Point* 2x 5 -10 10,1.935
348,Geo2Point* 2x 5 0 -10,2.02
349,Geo2Point* 2x 5 0 0,1.505
350,Geo2Point* 2x 5 0 10,1.493
351,Geo2Point* 2x 5 10 -10,1.529
352,Geo2Point* 2x 5 10 0,1.798
353,Geo2Point* 2x 5 10 10,1.52
354,Geo2Point* 2x 6 -10 -10,1.753
355,Geo2Point* 2x 6 -10 0,1.503
356,Geo2Point* 2x 6 -10 10,1.525
357,Geo2Point* 2x 6 0 -10,1.735
358,Geo2Point* 2x 6 0 0,1.74
359,Geo2Point* 2x 6 0 10,2.311
360,Geo2Point* 2x 6 10 -10,1.505
361,Geo2Point* 2x 6 10 0,1.636
362,Geo2Point* 2x 6 10 10,1.783
363,Geo2Point* 2x 7 -10 -10,1.525
364,Geo2Point* 2x 7 -10 0,1.604
365,Geo2Point* 2x 7 -10 10,1.499
366,Geo2Point* 2x 7 0 -10,1.515
367,Geo2Point* 2x 7 0 0,1.733
368,Geo2Point* 2x 7 0 10,1.543
369,Geo2Point* 2x 7 10 -10,2.107
370,Geo2Point* 2x 7 10 0,1.547
371,Geo2Point* 2x 7 10 10,1.518
372,Geo2Point* 2x 8 -10 -10,2.146
373,Geo2Point* 2x 8 -10 0,1.719
374,Geo2Point* 2x 8 -10 10,1.775
375,Geo2Point* 2x 8 0 -10,1.493
376,Geo2Point* 2x 8 0 0,1.578
377,Geo2Point* 2x 8 0 10,1.705
378,Geo2Point* 2x 8 10 -10,1.559
379,Geo2Point* 2x 8 10 0,1.762
380,Geo2Point* 2x 8 10 10,1.54
381,Geo2Point* 2x 9 -10 -10,1.791
382,Geo2Point* 2x 9 -10 0,1.534
383,Geo2Point* 2x 9 -10 10,1.534
384,Geo2Point* 2x 9 0 -10,1.479
385,Geo2Point* 2x 9 0 0,1.53
386,Geo2Point* 2x 9 0 10,1.495
387,Geo2Point* 2x 9 10 -10,1.787
388,Geo2Point* 2x 9 10 0,1.51
389,Geo2Point* 2x 9 10 10,1.523
390,Geo2Point* 2x 10 -10 -10,1.539
391,Geo2Point* 2x 10 -10 0,1.531
392,Geo2Point* 2x 10 -10 10,1.509
393,Geo2Point* 2x 10 0 -10,1.515
394,Geo2Point* 2x 10 0 0,1.75
395,Geo2Point* 2x 10 0 10,1.51
396,Geo2Point* 2x 10 10 -10,1.575
397,Geo2Point* 2x 10 10 0,1.886
398,Geo2Point* 2x 10 10 10,2.057
399,Geo2Point* 2x 11 -10 -10,1.782
400,Geo2Point* 2x 11 -10 0,2.131
401,Geo2Point* 2x 11 -10 10,1.532
402,Geo2Point* 2x 11 0 -10,1.639
403,Geo2Point* 2x 11 0 0,1.768
404,Geo2Point* 2x 11 0 10,1.506
405,Geo2Point* 2x 11 10 -10,1.903
406,Geo2Point* 2x 11 10 0,1.538
407,Geo2Point* 2x 11 10 10,1.534
408,Geo2Point* 2x 12 -10 -10,1.779
409,Geo2Point* 2x 12 -10 0,1.871
410,Geo2Point* 2x 12 -10 10,1.727
411,Geo2Point* 2x 12 0 -10,1.519
412,Geo2Point* 2x 12 0 0,1.876
413,Geo2Point* 2x 12 0 10,1.486
414,Geo2Point* 2x 12 10 -10,1.575
415,Geo2Point* 2x 12 10 0,1.897
416,Geo2Point* 2x 12 10 10,1.521
417,Geo2Point* 2x 13 -10 -10,1.527
418,Geo2Point* 2x 13 -10 0,1.523
419,Geo2Point* 2x 13 -10 10,1.524
420,Geo2Point* 2x 13 0 -10,1.529
421,Geo2Point* 2x 13 0 0,1.757
422,Geo2Point* 2x 13 0 10,1.472
423,Geo2Point* 2x 13 10 -10,1.769
424,Geo2Point* 2x 13 10 0,1.537
425,Geo2Point* 2x 13 10 10,1.504
426,Geo2Point* 2x 14 -10 -10,1.914
427,Geo2Point* 2x 14 -10 0,1.77
428,Geo2Point* 2x 14 -10 10,1.915
429,Geo2Point* 2x 14 0 -10,1.5
430,Geo2Point* 2x 14 0 0,2.881
431,Geo2Point* 2x 14 0 10,1.485
432,Geo2Point* 2x 14 10 -10,1.522
433,Geo2Point* 2x 14 10 0,1.52
434,Geo2Point* 2x 14 10 10,1.787
435,Geo2Point* 2x 15 -10 -10,1.895
436,Geo2Point* 2x 15 -10 0,1.877
437,Geo2Point* 2x 15 -10 10,1.706
438,Geo2Point* 2x 15 0 -10,2.146
439,Geo2Point* 2x 15 0 0,1.596
440,Geo2Point* 2x 15 0 10,2.255
441,Geo2Point* 2x 15 10 -10,1.534
442,Geo2Point* 2x 15 10 0,1.522
443,Geo2Point* 2x 15 10 10,1.792
444,Geo2Point* 2x 16 -10 -10,1.533
445,Geo2Point* 2x 16 -10 0,1.657
446,Geo2Point* 2x 16 -10 10,1.852
447,Geo2Point* 2x 16 0 -10,1.525
448,Geo2Point* 2x 16 0 0,1.791
449,Geo2Point* 2x 16 0 10,1.513
450,Geo2Point* 2x 16 10 -10,1.777
451,Geo2Point* 2x 16 10 0,1.623
452,Geo2Point* 2x 16 10 10,2.308
453,Geo2Point* 2x 17 -10 -10,2.067
454,Geo2Point* 2x 17 -10 0,1.53
455,Geo2Point* 2x 17 -10 10,1.527
456,Geo2Point* 2x 17 0 -10,1.737
457,Geo2Point* 2x 17 0 0,1.52
458,Geo2Point* 2x 17 0 10,1.804
459,Geo2Point* 2x 17 10 -10,1.88
460,Geo2Point* 2x 17 10 0,1.794
461,Geo2Point* 2x 17 10 10,1.817
462,Geo2Point* 2x 18 -10 -10,1.544
463,Geo2Point* 2x 18 -10 0,1.816
464,Geo2Point* 2x 18 -10 10,1.555
465,Geo2Point* 2x 18 0 -10,1.773
466,Geo2Point* 2x 18 0 0,1.991
467,Geo2Point* 2x 18 0 10,1.546
468,Geo2Point* 2x 18 10 -10,1.52
469,Geo2Point* 2x 18 10 0,1.78
470,Geo2Point* 2x 18 10 10,1.774
471,Geo2Point* 5x 0 -10 -10,2.065
472,Geo2Point* 5x 0 -10 0,2.096
473,Geo2Point* 5x 0 -10 10,2.963
474,Geo2Point* 5x 0 0 -10,1.995
475,Geo2Point* 5x 0 0 0,2.56
476,Geo2Point* 5x 0 0 10,2.007
477,Geo2Point* 5x 0 10 -10,2.104
478,Geo2Point* 5x 0 10 0,2.079
479,Geo2Point* 5x 0 10 10,2.101
480,Geo2Point* 5x 1 -10 -10,4.655
481,Geo2Point* 5x 1 -10 0,2.553
482,Geo2Point* 5x 1 -10 10,2.472
483,Geo2Point* 5x 1 0 -10,2.49
484,Geo2Point* 5x 1 0 0,2.02
485,Geo2Point* 5x 1 0 10,2.224
486,Geo2Point* 5x 1 10 -10,2.5
487,Geo2Point* 5x 1 10 0,2.523
488,Geo2Point* 5x 1 10 10,2.447
489,Geo2Point* 5x 2 -10 -10,2.409
490,Geo2Point* 5x 2 -10 0,2.073
491,Geo2Point* 5x 2 -10 10,2.076
492,Geo2Point* 5x 2 0 -10,2.001
493,Geo2Point* 5x 2 0 0,2.367
494,Geo2Point* 5x 2 0 10,2.376
495,Geo2Point* 5x 2 10 -10,2.117
496,Geo2Point* 5x 2 10 0,2.827
497,Geo2Point* 5x 2 10 10,2.068
498,Geo2Point* 5x 3 -10 -10,2.492
499,Geo2Point* 5x 3 -10 0,2.721
500,Geo2Point* 5x 3 -10 10,2.977
501,Geo2Point* 5x 3 0 -10,2.572
502,Geo2Point* 5x 3 0 0,1.99
503,Geo2Point* 5x 3 0 10,2.009
504,Geo2Point* 5x 3 10 -10,3.128
505,Geo2Point* 5x 3 10 0,3.164
506,Geo2Point* 5x 3 10 10,2.259
